id,title,latitude,longitude,category,content_type,text,author_or_source,source_title,source_url,location_name,tags,confidence,notes_internal
paris_001,Paris (City),48.8566,2.3522,literature,quote,"If you are lucky enough to have lived in Paris as a young man... it stays with you.","Ernest Hemingway","A Moveable Feast","https://en.wikiquote.org/wiki/Paris","Paris","city;memory;literature","verified","Copyrighted; keep short excerpt / consider paraphrase for commercial use"
paris_002,Paris (City),48.8566,2.3522,history,fact,"Paris was originally a Roman settlement known as Lutetia.","Historical source","History of Paris","https://en.wikipedia.org/wiki/History_of_Paris","Paris","city;history","verified","Safe factual anchor"
paris_003,Seine River (Central),48.8566,2.3522,history,fact,"The Seine structures Paris culturally into Left Bank and Right Bank as well as geographically.","General reference","Seine / Paris geography","https://en.wikipedia.org/wiki/Seine","Seine (central)","river;history;walking","verified","Good universal context card"
paris_004,Eiffel Tower,48.8584,2.2945,history,fact,"Built for the 1889 Exposition Universelle, the Eiffel Tower was controversial at first.","Tour Eiffel (official)","Eiffel Tower history","https://www.toureiffel.paris/en","Eiffel Tower","landmark;engineering;history","verified",""
paris_005,Eiffel Tower (attributed line),48.8584,2.2945,literature,quote,"Paris is not a city; it’s a world.","Attributed (debated)","Paris quotations","https://en.wikiquote.org/wiki/Paris","Eiffel Tower","landmark;identity","attributed","Attribution debated; label clearly"
paris_006,Louvre Museum,48.8606,2.3376,history,fact,"The Louvre began as a medieval fortress before becoming a royal palace and then a museum.","Musée du Louvre","Museum history","https://www.louvre.fr/en","Louvre","museum;history","verified",""
paris_007,Louvre Museum (art line),48.8606,2.3376,literature,quote,"Art is not what you see, but what you make others see.","Edgar Degas","Degas quotations","https://en.wikiquote.org/wiki/Edgar_Degas","Louvre","museum;art","verified","Contextual to art; not location-specific"
paris_008,Notre-Dame Cathedral,48.8530,2.3499,literature,quote,"Great buildings are the work of centuries.","Victor Hugo","Victor Hugo quotations","https://en.wikiquote.org/wiki/Victor_Hugo","Notre-Dame","cathedral;literature;history","verified","Strong place-text association via Hugo"
paris_009,Notre-Dame Cathedral,48.8530,2.3499,history,fact,"Notre-Dame’s construction spanned roughly the 12th to 14th centuries.","General reference","Notre-Dame de Paris","https://en.wikipedia.org/wiki/Notre-Dame_de_Paris","Notre-Dame","cathedral;architecture;history","verified",""
paris_010,Île de la Cité,48.8546,2.3477,history,fact,"Île de la Cité is among the historical cores of Paris’ earliest urban development.","General reference","Île de la Cité","https://en.wikipedia.org/wiki/%C3%8Ele_de_la_Cit%C3%A9","Île de la Cité","island;history","verified",""
paris_011,Île Saint-Louis,48.8511,2.3560,fun_fact,fact,"Île Saint-Louis is known for its quiet streets and classic 17th-century atmosphere.","General reference","Île Saint-Louis","https://en.wikipedia.org/wiki/%C3%8Ele_Saint-Louis","Île Saint-Louis","island;walking","verified",""
paris_012,Sainte-Chapelle,48.8554,2.3450,history,fact,"Sainte-Chapelle is famous for its high stained-glass windows built for royal relics.","General reference","Sainte-Chapelle","https://en.wikipedia.org/wiki/Sainte-Chapelle","Sainte-Chapelle","gothic;history","verified",""
paris_013,Conciergerie,48.8553,2.3455,history,fact,"The Conciergerie served as a prison during the French Revolution.","General reference","Conciergerie","https://en.wikipedia.org/wiki/Conciergerie","Conciergerie","revolution;history","verified",""
paris_014,Pont Neuf,48.8570,2.3419,history,fact,"Despite its name, Pont Neuf is the oldest standing bridge across the Seine in Paris.","General reference","Pont Neuf","https://en.wikipedia.org/wiki/Pont_Neuf","Pont Neuf","bridge;history","verified",""
paris_015,Pont des Arts,48.8583,2.3377,fun_fact,fact,"Pont des Arts became known for ‘love locks’ before they were removed for safety.","General reference","Pont des Arts","https://en.wikipedia.org/wiki/Pont_des_Arts","Pont des Arts","bridge;romance","verified",""
paris_016,Pont Alexandre III,48.8639,2.3130,cinema,fact,"One of the most filmed bridges in Paris; a frequent establishing shot for ‘Paris-at-night’.","General reference","Pont Alexandre III","https://en.wikipedia.org/wiki/Pont_Alexandre_III","Pont Alexandre III","bridge;cinema","verified",""
paris_017,Musée d’Orsay,48.8600,2.3266,art,fact,"Housed in a former railway station, the Musée d’Orsay is a centerpiece for Impressionist art.","Museum (official)","Musée d’Orsay","https://www.musee-orsay.fr/en","Musée d’Orsay","museum;art","verified",""
paris_018,Musée de l’Orangerie,48.8638,2.3226,art,fact,"Home to Monet’s Water Lilies rooms—designed as immersive panoramic canvases.","Museum (general)","Orangerie Museum","https://en.wikipedia.org/wiki/Mus%C3%A9e_de_l%27Orangerie","Orangerie","museum;art","verified",""
paris_019,Jardin des Tuileries,48.8635,2.3272,fun_fact,fact,"A classic open-air promenade linking the Louvre area to Place de la Concorde.","General reference","Tuileries Garden","https://en.wikipedia.org/wiki/Tuileries_Garden","Tuileries","park;walking","verified",""
paris_020,Place de la Concorde,48.8656,2.3212,history,fact,"A major Revolution-era site; the square’s history includes executions during the Terror.","General reference","Place de la Concorde","https://en.wikipedia.org/wiki/Place_de_la_Concorde","Concorde","revolution;history","verified",""
paris_021,Luxor Obelisk,48.8659,2.3212,history,fact,"An ancient Egyptian obelisk stands at the center of Place de la Concorde.","General reference","Luxor Obelisk","https://en.wikipedia.org/wiki/Luxor_Obelisk","Concorde Obelisk","monument;history","verified",""
paris_022,Champs-Élysées (Avenue),48.8698,2.3073,fun_fact,fact,"Avenue connecting Concorde to Arc de Triomphe; iconic for parades and nighttime walks.","General reference","Champs-Élysées","https://en.wikipedia.org/wiki/Champs-%C3%89lys%C3%A9es","Champs-Élysées","street;walking","verified",""
paris_023,Arc de Triomphe,48.8738,2.2950,history,fact,"Under the Arc lies the Tomb of the Unknown Soldier with an eternal flame.","General reference","Arc de Triomphe","https://en.wikipedia.org/wiki/Arc_de_Triomphe","Arc de Triomphe","war;memory;history","verified",""
paris_024,Place Charles de Gaulle (Étoile),48.8738,2.2950,fun_fact,fact,"Twelve avenues radiate outward from the Arc’s roundabout—an urban starburst.","General reference","Place Charles de Gaulle","https://en.wikipedia.org/wiki/Place_Charles_de_Gaulle","Étoile","urbanism;landmark","verified",""
paris_025,Grand Palais,48.8661,2.3126,history,fact,"Built for the 1900 Exposition Universelle; known for its glass barrel-vault roof.","General reference","Grand Palais","https://en.wikipedia.org/wiki/Grand_Palais","Grand Palais","architecture;history","verified",""
paris_026,Petit Palais,48.8664,2.3130,art,fact,"City of Paris museum with fine arts collections and a calm interior garden.","General reference","Petit Palais","https://en.wikipedia.org/wiki/Petit_Palais","Petit Palais","museum;art","verified",""
paris_027,Invalides (Dôme),48.8566,2.3126,history,fact,"Les Invalides houses Napoleon’s tomb beneath a prominent gilded dome.","General reference","Les Invalides","https://en.wikipedia.org/wiki/Les_Invalides","Les Invalides","history;monument","verified",""
paris_028,Musée Rodin,48.8555,2.3158,art,fact,"Rodin’s sculpture garden is one of the most pleasant ‘slow museum’ experiences in Paris.","General reference","Musée Rodin","https://en.wikipedia.org/wiki/Mus%C3%A9e_Rodin","Musée Rodin","museum;art;garden","verified",""
paris_029,Latin Quarter (area),48.8493,2.3470,history,fact,"Named for medieval academic Latin; still dense with students and book culture.","General reference","Latin Quarter, Paris","https://en.wikipedia.org/wiki/Latin_Quarter,_Paris","Latin Quarter","education;history","verified",""
paris_030,Sorbonne (area),48.8494,2.3430,history,fact,"The historic University of Paris tradition shaped European scholarship for centuries.","General reference","Sorbonne","https://en.wikipedia.org/wiki/Sorbonne","Sorbonne area","education;history","verified",""
paris_031,Panthéon,48.8462,2.3460,history,fact,"A national mausoleum honoring major figures of French history and culture.","Monuments (general)","Panthéon","https://en.wikipedia.org/wiki/Panth%C3%A9on","Panthéon","history;memory","verified",""
paris_032,Panthéon (Marie Curie),48.8462,2.3460,history,fact,"Marie Curie rests here; a scientific legacy anchored in the city’s civic memory.","General reference","Marie Curie","https://en.wikipedia.org/wiki/Marie_Curie","Panthéon","science;history","verified",""
paris_033,Jardin du Luxembourg,48.8462,2.3372,fun_fact,fact,"A classic Paris park for chairs-by-the-fountain reading, chess, and slow afternoons.","General reference","Luxembourg Gardens","https://en.wikipedia.org/wiki/Luxembourg_Garden","Luxembourg Gardens","park;walking","verified",""
paris_034,Odéon (theatre area),48.8499,2.3387,cinema,scene,"A natural ‘walk-and-talk’ zone often used in dialogue-driven Paris films.","General reference","Odéon-Theatre de l'Europe","https://en.wikipedia.org/wiki/Od%C3%A9on-Th%C3%A9%C3%A2tre_de_l%27Europe","Odéon","cinema;walking","curated","Use as cinematic vibe card; add exact film references later"
paris_035,Shakespeare and Company,48.8527,2.3470,literature,fact,"A landmark English-language bookshop associated with expatriate writers and literary Paris.","Store history","Shakespeare and Company","https://shakespeareandcompany.com","Shakespeare and Company","bookstore;writers","verified",""
paris_036,Shakespeare and Company (Before Sunset),48.8527,2.3470,cinema,scene,"Appears in Before Sunset (2004) as a meeting-point in the opening sequence.","Film location","Before Sunset (2004)","https://www.imdb.com/title/tt0381681/","Shakespeare and Company","cinema;walking","verified","No dialogue used"
paris_037,Saint-Étienne-du-Mont,48.8469,2.3470,cinema,scene,"Featured in Midnight in Paris (2011) as a late-night ‘time-slip’ starting point.","Film location","Midnight in Paris (2011)","https://www.imdb.com/title/tt1605783/","Saint-Étienne-du-Mont","cinema;night","verified","No dialogue used"
paris_038,Place Dauphine,48.8566,2.3426,fun_fact,fact,"A quiet triangular square near Pont Neuf—often missed by first-time visitors.","General reference","Place Dauphine","https://en.wikipedia.org/wiki/Place_Dauphine","Place Dauphine","hidden;walking","verified",""
paris_039,Palais Royal Gardens,48.8630,2.3370,cinema,scene,"A classic filming backdrop: arcades, symmetry, and slow strolling energy.","General reference","Palais Royal","https://en.wikipedia.org/wiki/Palais-Royal","Palais Royal","cinema;walking","curated","Add concrete film references as you curate"
paris_040,Opéra Garnier,48.8719,2.3316,history,fact,"A landmark of Second Empire architecture and a frequent ‘Paris grandeur’ film setting.","General reference","Palais Garnier","https://en.wikipedia.org/wiki/Palais_Garnier","Opéra Garnier","architecture;cinema","verified",""
paris_041,Galeries Lafayette (Haussmann),48.8720,2.3320,fun_fact,fact,"The glass dome makes this department store feel like a cathedral of commerce.","General reference","Galeries Lafayette Haussmann","https://en.wikipedia.org/wiki/Galeries_Lafayette","Galeries Lafayette","shopping;architecture","verified",""
paris_042,Place Vendôme,48.8675,2.3295,history,fact,"Designed as a symbol of royal power; now associated with luxury and jewelry houses.","General reference","Place Vend%C3%B4me","https://en.wikipedia.org/wiki/Place_Vend%C3%B4me","Place Vendôme","history;luxury","verified",""
paris_043,Madeleine Church,48.8708,2.3245,history,fact,"A neoclassical church resembling a Roman temple at the edge of central Paris.","General reference","La Madeleine, Paris","https://en.wikipedia.org/wiki/La_Madeleine,_Paris","La Madeleine","architecture;history","verified",""
paris_044,Place des Vosges,48.8556,2.3652,history,fact,"One of the oldest planned squares in Paris; a model of symmetry and calm.","General reference","Place des Vosges","https://en.wikipedia.org/wiki/Place_des_Vosges","Place des Vosges","square;walking","verified",""
paris_045,Le Marais (district),48.8590,2.3626,fun_fact,fact,"A dense historic district where medieval street patterns meet modern galleries and cafés.","General reference","Le Marais","https://en.wikipedia.org/wiki/Le_Marais","Le Marais","neighborhood;walking;art","verified",""
paris_046,Centre Pompidou,48.8606,2.3522,art,fact,"Inside-out architecture with exposed structure and color-coded systems; a modern Paris icon.","General reference","Centre Pompidou","https://en.wikipedia.org/wiki/Centre_Pompidou","Centre Pompidou","museum;modern_art","verified",""
paris_047,Place de la Bastille,48.8530,2.3690,history,fact,"Symbolic site of the French Revolution; the prison fortress once stood here.","General reference","Place de la Bastille","https://en.wikipedia.org/wiki/Place_de_la_Bastille","Bastille","revolution;history","verified",""
paris_048,Canal Saint-Martin,48.8722,2.3655,cinema,scene,"A popular Paris-cinema backdrop: water, iron footbridges, and long, slow conversations.","General reference","Canal Saint-Martin","https://en.wikipedia.org/wiki/Canal_Saint-Martin","Canal Saint-Martin","cinema;walking","curated","Add specific film references as you curate"
paris_049,Gare du Nord,48.8809,2.3553,fun_fact,fact,"Europe’s busiest rail hub by passenger numbers; an arrival scene in countless travel narratives.","General reference","Gare du Nord","https://en.wikipedia.org/wiki/Gare_du_Nord","Gare du Nord","transport;arrival","verified",""
paris_050,Gare de Lyon,48.8443,2.3730,fun_fact,fact,"Known for the ornate clock tower and the historic Train Bleu restaurant inside the station.","General reference","Gare de Lyon","https://en.wikipedia.org/wiki/Gare_de_Lyon","Gare de Lyon","transport;architecture;food","verified",""

paris_051,Le Train Bleu (restaurant),48.8444,2.3733,food,fact,"A Belle Époque restaurant inside Gare de Lyon—built for the 1900 exposition era.","General reference","Le Train Bleu","https://en.wikipedia.org/wiki/Le_Train_Bleu","Le Train Bleu","food;history","verified",""
paris_052,Père Lachaise Cemetery,48.8614,2.3933,history,fact,"A major cultural cemetery with graves of artists and writers; a quiet ‘museum of memory’.","General reference","P%C3%A8re Lachaise Cemetery","https://en.wikipedia.org/wiki/P%C3%A8re_Lachaise_Cemetery","Père Lachaise","cemetery;history","verified",""
paris_053,Père Lachaise (Oscar Wilde),48.8614,2.3933,literature,fact,"Oscar Wilde is buried here; the tomb became famous for devotion from visitors.","General reference","Oscar Wilde","https://en.wikipedia.org/wiki/Oscar_Wilde","Père Lachaise","writers;memory","verified",""
paris_054,Belleville (district),48.8720,2.3850,fun_fact,fact,"A hillside neighborhood with sweeping views and a distinctly local, less-touristed Paris feel.","General reference","Belleville, Paris","https://en.wikipedia.org/wiki/Belleville,_Paris","Belleville","neighborhood;view","verified",""
paris_055,Parc des Buttes-Chaumont,48.8809,2.3819,fun_fact,fact,"A dramatic park with cliffs, a lake, and a temple viewpoint—unexpected terrain for Paris.","General reference","Parc des Buttes-Chaumont","https://en.wikipedia.org/wiki/Parc_des_Buttes-Chaumont","Buttes-Chaumont","park;view","verified",""
paris_056,Parc de la Villette,48.8897,2.3936,fun_fact,fact,"A modern cultural park blending architecture, museums, and open-air events.","General reference","Parc de la Villette","https://en.wikipedia.org/wiki/Parc_de_la_Villette","La Villette","park;culture","verified",""
paris_057,Cité des Sciences et de l’Industrie,48.8956,2.3877,fun_fact,fact,"One of Europe’s largest science museums—good for ‘Paris beyond monuments’.","General reference","Cit%C3%A9 des Sciences et de l%27Industrie","https://en.wikipedia.org/wiki/Cit%C3%A9_des_Sciences_et_de_l%27Industrie","Cité des Sciences","science;museum","verified",""
paris_058,Montparnasse Tower,48.8422,2.3215,fun_fact,fact,"A controversial skyline outlier; its observation deck gives a rare full-city panorama.","General reference","Tour Montparnasse","https://en.wikipedia.org/wiki/Tour_Montparnasse","Montparnasse Tower","view;architecture","verified",""
paris_059,Catacombs Entrance,48.8338,2.3324,history,fact,"The Catacombs hold ossuary remains relocated from overcrowded cemeteries.","General reference","Catacombs of Paris","https://en.wikipedia.org/wiki/Catacombs_of_Paris","Catacombs","underground;history","verified",""
paris_060,Pont de Bir-Hakeim,48.8555,2.2870,cinema,scene,"A visually distinctive bridge often used for stylized Paris sequences (arches, metro line, symmetry).","General reference","Pont de Bir-Hakeim","https://en.wikipedia.org/wiki/Pont_de_Bir-Hakeim","Pont de Bir-Hakeim","bridge;cinema","verified","No dialogue used"
paris_061,Trocadéro Gardens,48.8629,2.2889,fun_fact,fact,"A classic viewpoint framing the Eiffel Tower—one of the city’s most photographed compositions.","General reference","Trocad%C3%A9ro","https://en.wikipedia.org/wiki/Trocad%C3%A9ro","Trocadéro","view;landmark","verified",""
paris_062,Champ de Mars,48.8559,2.2986,fun_fact,fact,"A large public green space aligned with the Eiffel Tower; a picnic-and-sunset magnet.","General reference","Champ de Mars","https://en.wikipedia.org/wiki/Champ_de_Mars","Champ de Mars","park;landmark","verified",""
paris_063,Place du Tertre,48.8865,2.3409,fun_fact,fact,"A small Montmartre square known for portrait artists and tourist bustle.","General reference","Place du Tertre","https://en.wikipedia.org/wiki/Place_du_Tertre","Place du Tertre","art;neighborhood","verified",""
paris_064,Café des Deux Moulins,48.8841,2.3324,cinema,scene,"Key recurring setting in Amélie (2001); fans visit for the film’s everyday Paris mood.","Film location","Am%C3%A9lie (2001)","https://www.imdb.com/title/tt0211915/","Café des Deux Moulins","cinema;romance","verified","No dialogue used"
paris_065,Place de l’Abbesse,48.8840,2.3386,cinema,scene,"A Montmartre cluster associated with Amélie-era Paris imagery and strolling routes.","General reference","Abbesses","https://en.wikipedia.org/wiki/Abbesses_(Paris_M%C3%A9tro)","Abbesses area","cinema;walking","curated","Use as cinematic neighborhood node"
paris_066,Musée Picasso Paris,48.8597,2.3620,art,fact,"A major Picasso collection in the Marais; the building itself is part of the experience.","Museum (general)","Mus%C3%A9e Picasso","https://en.wikipedia.org/wiki/Mus%C3%A9e_Picasso","Musée Picasso","museum;art","verified",""
paris_067,Place de la République,48.8674,2.3631,history,fact,"A major civic square often used for gatherings, demonstrations, and public memory.","General reference","Place de la R%C3%A9publique","https://en.wikipedia.org/wiki/Place_de_la_R%C3%A9publique","République","civic;history","verified",""
paris_068,Le Mur des Je t’aime,48.8841,2.3385,fun_fact,fact,"A wall featuring ‘I love you’ in many languages—modern romantic micro-pilgrimage.","General reference","Wall of Love (Paris)","https://en.wikipedia.org/wiki/Wall_of_Love_(Paris)","Je t’aime Wall","romance;art","verified",""
paris_069,Palais de Tokyo,48.8645,2.2966,art,fact,"A contemporary art center close to the Seine—often used for modern Paris culture routes.","General reference","Palais de Tokyo","https://en.wikipedia.org/wiki/Palais_de_Tokyo","Palais de Tokyo","museum;modern_art","verified",""
paris_070,Bois de Boulogne,48.8620,2.2490,fun_fact,fact,"A vast western park with lakes and paths—Paris’ ‘big nature’ escape zone.","General reference","Bois de Boulogne","https://en.wikipedia.org/wiki/Bois_de_Boulogne","Bois de Boulogne","park;nature","verified",""
paris_071,Bois de Vincennes,48.8280,2.4330,fun_fact,fact,"A vast eastern park—good for routes that avoid the crowded center.","General reference","Bois de Vincennes","https://en.wikipedia.org/wiki/Bois_de_Vincennes","Bois de Vincennes","park;nature","verified",""
paris_072,Parc Monceau,48.8790,2.3093,fun_fact,fact,"A refined park with classical follies and curved paths—very ‘19th-century stroll’.","General reference","Parc Monceau","https://en.wikipedia.org/wiki/Parc_Monceau","Parc Monceau","park;walking","verified",""
paris_073,Place Clichy,48.8834,2.3287,cinema,scene,"A lively junction between neighborhoods; useful node for cinema-and-streetlife themed walks.","General reference","Place de Clichy","https://en.wikipedia.org/wiki/Place_de_Clichy","Place de Clichy","cinema;streetlife","curated","Add specific film references later"
paris_074,Moulin Rouge,48.8841,2.3324,cinema,fact,"A famous cabaret; its imagery defines a certain ‘night Paris’ in popular culture.","General reference","Moulin Rouge","https://en.wikipedia.org/wiki/Moulin_Rouge","Moulin Rouge","night;cinema","verified",""
paris_075,Palace of Versailles,48.8049,2.1204,history,fact,"Versailles symbolizes French royal power; the Hall of Mirrors became a diplomatic stage.","General reference","Palace of Versailles","https://en.wikipedia.org/wiki/Palace_of_Versailles","Versailles","palace;history","verified","Outside Paris proper; keep if you allow ‘Greater Paris’"
paris_076,Saint-Sulpice Church,48.8510,2.3336,cinema,scene,"Appears in The Da Vinci Code as part of the film’s Paris mystery trail.","Film location","The Da Vinci Code (2006)","https://www.imdb.com/title/tt0382625/","Saint-Sulpice","cinema;mystery","verified","No dialogue used"
paris_077,Musée du Quai Branly,48.8607,2.2977,fun_fact,fact,"Museum focused on Indigenous and non-European arts; architecturally notable gardens.","Museum (general)","Mus%C3%A9e du quai Branly","https://en.wikipedia.org/wiki/Mus%C3%A9e_du_quai_Branly","Quai Branly","museum;culture","verified",""
paris_078,Place Saint-Michel,48.8539,2.3430,fun_fact,fact,"A classic Left Bank meeting point near the Seine with dense foot traffic and street energy.","General reference","Place Saint-Michel","https://en.wikipedia.org/wiki/Place_Saint-Michel","Saint-Michel","walking;river","verified",""
paris_079,Rue Mouffetard,48.8426,2.3498,food,fact,"One of the oldest market streets in Paris; strong food-and-strolling atmosphere.","General reference","Rue Mouffetard","https://en.wikipedia.org/wiki/Rue_Mouffetard","Rue Mouffetard","food;walking","verified",""
paris_080,Marché d’Aligre,48.8496,2.3762,food,fact,"A lively market area combining covered and open-air stalls; local and chaotic in a good way.","General reference","March%C3%A9 d%27Aligre","https://en.wikipedia.org/wiki/March%C3%A9_d%27Aligre","Marché d’Aligre","food;local","verified",""

paris_081,Canal de l’Ourcq (Paris edge),48.8850,2.3830,fun_fact,fact,"A canal route used for long walks and bike rides connecting to northeast Paris.","General reference","Canal de l%27Ourcq","https://en.wikipedia.org/wiki/Canal_de_l%27Ourcq","Canal de l’Ourcq","walking;water","verified",""
paris_082,Bibliothèque François-Mitterrand,48.8331,2.3758,fun_fact,fact,"A modern national library complex; a different ‘Paris future’ vibe on the Seine.","General reference","Biblioth%C3%A8que nationale de France","https://en.wikipedia.org/wiki/Biblioth%C3%A8que_nationale_de_France","BnF François-Mitterrand","books;modern","verified",""
paris_083,Promenade Plantée (Coulée verte),48.8487,2.3685,fun_fact,fact,"An elevated green walkway built on former railway infrastructure—quiet and surprisingly long.","General reference","Promenade Plant%C3%A9e","https://en.wikipedia.org/wiki/Promenade_Plant%C3%A9e","Promenade Plantée","park;walking;hidden","verified",""
paris_084,Parc André Citroën,48.8413,2.2750,fun_fact,fact,"A modern park with broad lawns and greenhouse structures in southwest Paris.","General reference","Parc Andr%C3%A9 Citro%C3%ABn","https://en.wikipedia.org/wiki/Parc_Andr%C3%A9_Citro%C3%ABn","Parc André Citroën","park;modern","verified",""
paris_085,La Défense (Grande Arche),48.8926,2.2369,fun_fact,fact,"The modern business district’s Grande Arche extends Paris’ historic axis into the suburbs.","General reference","Grande Arche","https://en.wikipedia.org/wiki/Grande_Arche","La Défense","modern;architecture","verified","Outside Paris proper; include if you allow near-Paris"
paris_086,Place de la Nation,48.8488,2.3958,history,fact,"A large Paris square; useful as a civic and historical node for city-scale stories.","General reference","Place de la Nation","https://en.wikipedia.org/wiki/Place_de_la_Nation","Nation","civic;history","verified",""
paris_087,Parc de Bercy,48.8354,2.3880,fun_fact,fact,"A park built on old wine warehouses—Bercy’s identity is literally fermented history.","General reference","Parc de Bercy","https://en.wikipedia.org/wiki/Parc_de_Bercy","Parc de Bercy","park;wine;history","verified",""
paris_088,Accor Arena (Bercy),48.8386,2.3785,fun_fact,fact,"Major concert venue—good anchor for music/nightlife-themed layers.","General reference","Accor Arena","https://en.wikipedia.org/wiki/Accor_Arena","Accor Arena","music;events","verified",""
paris_089,Place du Châtelet,48.8582,2.3471,cinema,scene,"A classic central node for ‘Paris at speed’ sequences: bridges, theatres, and river proximity.","General reference","Place du Ch%C3%A2telet","https://en.wikipedia.org/wiki/Place_du_Ch%C3%A2telet","Châtelet","cinema;walking","curated","Add film references later"
paris_090,Hôtel de Ville,48.8566,2.3522,history,fact,"Paris’ city hall anchors civic identity; the square often hosts public installations and events.","General reference","H%C3%B4tel de Ville, Paris","https://en.wikipedia.org/wiki/H%C3%B4tel_de_Ville,_Paris","Hôtel de Ville","civic;history","verified",""
paris_091,Place des Abbesses (Metro),48.8840,2.3386,fun_fact,fact,"One of the deepest metro stations; an ‘underworld-to-hillside’ Paris experience.","General reference","Abbesses (Paris M%C3%A9tro)","https://en.wikipedia.org/wiki/Abbesses_(Paris_M%C3%A9tro)","Abbesses","metro;neighborhood","verified",""
paris_092,Le Bon Marché,48.8519,2.3254,fun_fact,fact,"Often called the first modern department store—Paris helped invent retail theater.","General reference","Le Bon March%C3%A9","https://en.wikipedia.org/wiki/Le_Bon_March%C3%A9","Le Bon Marché","shopping;history","verified",""
paris_093,Passage des Panoramas,48.8718,2.3422,fun_fact,fact,"One of Paris’ covered passages—glass-roof arcades built for strolling and window-shopping.","General reference","Passage des Panoramas","https://en.wikipedia.org/wiki/Passage_des_Panoramas","Passage des Panoramas","hidden;walking;history","verified",""
paris_094,Passage Jouffroy,48.8716,2.3429,fun_fact,fact,"A nearby covered passage with antique shops and a slow-time feel in the 9th arrondissement.","General reference","Passage Jouffroy","https://en.wikipedia.org/wiki/Passage_Jouffroy","Passage Jouffroy","hidden;walking","verified",""
paris_095,Maison de Victor Hugo,48.8556,2.3652,literature,fact,"Victor Hugo lived here (Place des Vosges); a direct literary anchor in the Marais.","Museum (general)","Maison de Victor Hugo","https://en.wikipedia.org/wiki/Maison_de_Victor_Hugo","Maison de Victor Hugo","writers;history","verified",""
paris_096,Le Père Tanguy (art myth),48.8867,2.3431,art,description,"Montmartre and nearby streets are tied to the mythology of modern art communities and ateliers.","General reference","Montmartre","https://en.wikipedia.org/wiki/Montmartre","Montmartre (art layer)","art;history","curated","Use as ‘art mythos’ layer; add precise references later"
paris_097,La Petite Ceinture (segment),48.8795,2.3140,fun_fact,fact,"A former railway ring around Paris; some sections are now reclaimed as urban nature walks.","General reference","Petite Ceinture","https://en.wikipedia.org/wiki/Petite_Ceinture","Petite Ceinture","urban_nature;walking","verified",""
paris_098,Butte-aux-Cailles,48.8276,2.3500,fun_fact,fact,"A small hilltop neighborhood known for village-like streets and street art.","General reference","Butte-aux-Cailles","https://en.wikipedia.org/wiki/Butte-aux-Cailles","Butte-aux-Cailles","street_art;walking","verified",""
paris_099,Place Denfert-Rochereau,48.8336,2.3322,history,fact,"A major south-Paris junction; gateway to the Catacombs and the city’s underground narratives.","General reference","Denfert-Rochereau","https://en.wikipedia.org/wiki/Denfert-Rochereau","Denfert-Rochereau","underground;history","verified",""
paris_100,Before Sunset (Seine walk vibe),48.8575,2.3522,cinema,scene,"Before Sunset (2004) is essentially a Paris walk; the city becomes the third character through movement.","Film description","Before Sunset (2004)","https://www.imdb.com/title/tt0381681/","Seine walk zone","cinema;walking","curated","No dialogue used; tie to specific filming spots later"